,ts,resp_pkts,id.resp_h,resp_l2_addr,orig_l2_addr,source,orig_bytes,duration,uid,LINE_ID,local_resp,cat,conn_state,host,local_orig,service,offset,id.orig_h,resp_bytes,orig_ip_bytes,missed_bytes,id.resp_p,resp_ip_bytes,orig_pkts,history,GROUP_ID,batchtime,@timestamp,id.orig_p,proto
905,1580000000000.0,0,ff02,33,f4,/opt/bro/spool/bro/conn.log,100.0,1.2e-05,CXqaPj3YtEhnJEJ0yl,1001,False,conn,S0,wxs22cae,False,udp_547,229348292,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
906,1580000000000.0,0,255.255.255.255,ff,ec,/opt/bro/spool/bro/conn.log,756.0,0.000544,C7pBOE22t0KqWfHjRe,1001,False,conn,S0,wxs22cae,True,udp_5246,229348745,10.192.24.138,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,55380.0,udp
907,1580000000000.0,2,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,41.0,0.001739,Clc7Bc3bNWH6LQOYia,1001,False,conn,SF,wxs22cae,True,dns,229349212,10.192.25.90,420.0,69,0,53,476,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,48774.0,udp
908,1580000000000.0,0,218.75.4.130,0,7c,/opt/bro/spool/bro/conn.log,144.0,6.011756,CZgdFXbq66ZcjpdEa,1001,False,conn,S0,wxs22cae,True,udp_123,229349660,10.192.25.174,0.0,228,0,123,0,3,D,sie866f9,2020-03-01T01,2020-03-01T01,45871.0,udp
909,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,35.0,0.07283099999999999,CS5VOnF0ucSuMczn9,1001,False,conn,SF,wxs22cae,True,dns,229350127,10.192.25.195,99.0,63,0,53,127,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,51294.0,udp
910,1580000000000.0,0,ff02,33,84,/opt/bro/spool/bro/conn.log,100.0,1.2e-05,Cz6Ux51GJEcyADNt04,1001,False,conn,S0,wxs22cae,False,udp_547,229350584,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
911,1580000000000.0,0,129.103.84.57,0,7c,/opt/bro/spool/bro/conn.log,0.0,0.0,C95PZ74GCKZ991pnef,1001,False,conn,S0,wxs22cae,True,udp_53,229350980,10.192.25.100,0.0,69,0,53,0,1,D,sie866f9,2020-03-01T01,2020-03-01T01,49663.0,udp
912,1580000000000.0,0,129.103.84.57,0,7c,/opt/bro/spool/bro/conn.log,0.0,0.0,CfEnoN1gkms3drzi3h,1001,False,conn,S0,wxs22cae,True,udp_53,229351375,10.192.24.93,0.0,65,0,53,0,1,D,sie866f9,2020-03-01T01,2020-03-01T01,25685.0,udp
913,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,35.0,0.0017530000000000002,Cwc17c3fuTPz1TBgll,1001,False,conn,SF,wxs22cae,True,dns,229351843,10.192.25.192,99.0,63,0,53,127,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,43214.0,udp
914,1580000000000.0,0,255.255.255.255,ff,2c,/opt/bro/spool/bro/conn.log,756.0,0.0008820000000000001,CdlJPT3C7QB4JfFEKd,1001,False,conn,S0,wxs22cae,True,udp_5246,229352296,10.192.24.164,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,61232.0,udp
